EventId,Type,Severity,TMC,StartTime(UTC),EndTime(UTC),LocationLat,LocationLng,Number,Street,City,State
T-4977809,Congestion,1,71,2020-12-31 22:34:00,2020-12-31 23:35:23,41.946079,-87.750717,4933.0,W Addison St,Chicago,IL
T-4977810,Congestion,0,72,2020-12-31 22:56:00,2020-12-31 23:37:27,41.953812,-87.715614,,N Saint Louis Ave,Chicago,IL
T-4977812,Congestion,0,72,2020-12-31 22:56:00,2020-12-31 23:37:27,41.961315,-87.747551,4415.0,N Cicero Ave,Chicago,IL
T-4977816,Congestion,0,71,2020-12-31 22:56:00,2020-12-31 23:37:27,41.969009,-87.660164,1209.0,W Lawrence Ave,Chicago,IL
T-4977818,Congestion,0,72,2020-12-31 22:41:00,2020-12-31 23:37:27,41.98502,-87.698318,5699.0,N Lincoln Ave,Chicago,IL
T-4977819,Congestion,0,71,2020-12-31 22:56:00,2020-12-31 23:37:27,41.986046,-87.660149,5730.0,N Broadway,Chicago,IL
T-4977820,Congestion,0,72,2020-12-31 22:56:00,2020-12-31 23:52:26,42.00206,-87.671989,6608.0,N Clark St,Chicago,IL
T-4977821,Congestion,1,71,2020-12-31 22:02:00,2020-12-31 23:45:25,41.74366,-87.62413,8.0,E 83rd St,Chicago,IL
T-4977822,Congestion,0,72,2020-12-31 22:58:00,2020-12-31 23:40:18,41.839008,-87.675407,,S Damen Ave,Chicago,IL
T-4977824,Congestion,1,72,2020-12-31 22:23:00,2020-12-31 23:39:17,41.882,-87.676651,22.0,N Damen Ave,Chicago,IL
T-4977825,Congestion,0,72,2020-12-31 22:56:00,2020-12-31 23:38:25,41.896984,-87.616966,,E Chicago Ave,Chicago,IL
T-4977827,Congestion,1,72,2020-12-31 22:59:00,2020-12-31 23:51:34,41.89138,-87.745682,598.0,N Cicero Ave,Chicago,IL
T-4977829,Congestion,0,71,2020-12-31 22:58:00,2020-12-31 23:45:25,41.931709,-87.733124,2802.0,N Tripp Ave,Chicago,IL
T-4977830,Congestion,0,72,2020-12-31 22:47:00,2020-12-31 23:40:18,41.945938,-87.763008,3601.0,N Lotus Ave,Chicago,IL
T-4977831,Congestion,0,72,2020-12-31 22:58:00,2020-12-31 23:39:17,41.946468,-87.72068,3727.0,W Addison St,Chicago,IL
T-4977832,Congestion,0,72,2020-12-31 22:58:00,2020-12-31 23:40:18,41.952759,-87.795288,6766.0,W Irving Park Rd,Chicago,IL
T-4977835,Congestion,0,72,2020-12-31 22:58:00,2020-12-31 23:39:17,41.954342,-87.664642,1412.0,W Irving Park Rd,Chicago,IL
T-4977836,Congestion,1,71,2020-12-31 21:30:00,2020-12-31 23:48:13,41.984055,-87.660088,5610.0,N Broadway,Chicago,IL
T-4977841,Congestion,0,72,2020-12-31 22:26:00,2020-12-31 23:43:22,41.83696,-87.666924,3098.0,S Robinson St,Chicago,IL
T-4977844,Congestion,0,72,2020-12-31 23:01:00,2020-12-31 23:45:25,41.86721,-87.637177,,W Roosevelt Rd,Chicago,IL
T-4977848,Congestion,0,72,2020-12-31 23:03:00,2020-12-31 23:44:17,41.917866,-87.648506,1969.0,N Halsted St,Chicago,IL
T-4977850,Congestion,1,71,2020-12-31 22:25:00,2020-12-31 23:52:26,41.93111,-87.778389,6098.0,W Diversey Ave,Chicago,IL
T-4977851,Congestion,0,72,2020-12-31 23:01:00,2020-12-31 23:42:21,41.931511,-87.649002,2696.0,N Halsted St,Chicago,IL
T-4977852,Congestion,1,71,2020-12-31 23:03:00,2020-12-31 23:46:11,41.931759,-87.728989,4079.0,W Diversey Ave,Chicago,IL
T-4977854,Congestion,0,72,2020-12-31 23:01:00,2020-12-31 23:42:21,41.946671,-87.703392,3012.0,W Addison St,Chicago,IL
T-4977855,Congestion,0,72,2020-12-31 23:03:00,2020-12-31 23:44:17,41.94672,-87.690727,2405.0,W Addison St,Chicago,IL
T-4977859,Congestion,0,72,2020-12-31 23:02:00,2020-12-31 23:44:17,41.968788,-87.67688,1917.0,W Lawrence Ave,Chicago,IL
T-4977860,Congestion,0,72,2020-12-31 23:02:00,2020-12-31 23:43:23,41.968903,-87.666008,1449.0,W Lawrence Ave,Chicago,IL
T-4977862,Congestion,2,72,2020-12-31 23:03:00,2020-12-31 23:46:11,41.975349,-87.747993,5203.0,N Cicero Ave,Chicago,IL
T-4977865,Congestion,1,71,2020-12-31 22:05:00,2020-12-31 23:45:25,41.75153,-87.582726,1714.0,E 79th St,Chicago,IL
T-4977866,Congestion,0,72,2020-12-31 23:04:00,2020-12-31 23:46:11,41.784981,-87.741211,5937.0,S Cicero Ave,Chicago,IL
T-4977870,Congestion,1,72,2020-12-31 22:54:00,2020-12-31 23:51:34,41.895107,-87.686806,749.0,N Western Ave,Chicago,IL
T-4977871,Congestion,0,71,2020-12-31 23:05:00,2020-12-31 23:46:11,41.903149,-87.6791,2075.0,W Division St,Chicago,IL
T-4977872,Congestion,0,70,2020-12-31 23:05:00,2020-12-31 23:46:11,41.905682,-87.631508,101.0,W Goethe St,Chicago,IL
T-4977876,Congestion,0,72,2020-12-31 23:04:00,2020-12-31 23:45:25,41.910831,-87.653664,1007.0,W North Ave,Chicago,IL
T-4977881,Congestion,1,72,2020-12-31 23:04:00,2020-12-31 23:45:25,41.926949,-87.72683,2516.0,N Pulaski Rd,Chicago,IL
