EventId,Type,Severity,StartTime(UTC),EndTime(UTC),LocationLat,LocationLng,City,State
W-2356908,Snow,Light,2017-12-31 20:15:00,2017-12-31 20:55:00,39.078,-77.5575,Leesburg,VA
W-2359784,Snow,Light,2017-12-31 13:53:00,2017-12-31 14:53:00,39.8466,-104.6562,Denver,CO
W-2359785,Snow,Light,2017-12-31 17:19:00,2017-12-31 21:53:00,39.8466,-104.6562,Denver,CO
W-2362843,Rain,Light,2017-12-31 02:53:00,2017-12-31 07:16:00,30.0292,-91.8845,New Iberia,LA
W-2362844,Rain,Light,2017-12-31 13:53:00,2017-12-31 15:53:00,30.0292,-91.8845,New Iberia,LA
W-2362845,Rain,Light,2017-12-31 16:53:00,2017-12-31 17:53:00,30.0292,-91.8845,New Iberia,LA
W-2362846,Rain,Light,2017-12-31 20:02:00,2017-12-31 20:44:00,30.0292,-91.8845,New Iberia,LA
W-2362847,Snow,Light,2017-12-31 23:53:00,2018-01-01 00:53:00,30.0292,-91.8845,New Iberia,LA
W-2374854,Cold,Severe,2017-12-31 21:15:00,2018-01-01 16:55:00,46.4502,-95.2135,Compton,MN
W-2378006,Snow,Light,2017-12-31 11:35:00,2017-12-31 15:55:00,34.8578,-102.3264,Hereford East,TX
W-2378007,Snow,Light,2017-12-31 16:15:00,2017-12-31 16:55:00,34.8578,-102.3264,Hereford East,TX
W-2378008,Snow,Light,2017-12-31 18:15:00,2017-12-31 18:35:00,34.8578,-102.3264,Hereford East,TX
W-2378009,Snow,Light,2017-12-31 21:35:00,2017-12-31 23:15:00,34.8578,-102.3264,Hereford East,TX
W-2378010,Snow,Light,2017-12-31 23:35:00,2018-01-01 00:35:00,34.8578,-102.3264,Hereford East,TX
W-2380476,Fog,Moderate,2017-12-31 01:47:00,2017-12-31 01:56:00,41.9855,-97.4351,Norfolk,NE
W-2380477,Snow,Light,2017-12-31 03:39:00,2017-12-31 05:56:00,41.9855,-97.4351,Norfolk,NE
W-2380478,Cold,Severe,2017-12-31 07:56:00,2017-12-31 09:56:00,41.9855,-97.4351,Norfolk,NE
W-2380479,Cold,Severe,2017-12-31 23:56:00,2018-01-01 16:56:00,41.9855,-97.4351,Norfolk,NE
W-2391382,Fog,Severe,2017-12-31 03:35:00,2017-12-31 03:55:00,31.2589,-81.4661,Everett,GA
W-2391383,Rain,Light,2017-12-31 20:55:00,2017-12-31 21:15:00,31.2589,-81.4661,Everett,GA
W-2391384,Rain,Light,2017-12-31 21:55:00,2017-12-31 23:35:00,31.2589,-81.4661,Everett,GA
W-2394646,Fog,Moderate,2017-12-31 16:51:00,2017-12-31 17:51:00,34.2001,-119.2041,Oxnard,CA
W-2394647,Fog,Moderate,2017-12-31 19:51:00,2017-12-31 23:51:00,34.2001,-119.2041,Oxnard,CA
W-2401759,Snow,Light,2017-12-31 11:36:00,2017-12-31 15:31:00,39.5855,-85.7998,Shelbyville,IN
W-2401760,Fog,Moderate,2017-12-31 19:53:00,2017-12-31 20:32:00,39.5855,-85.7998,Shelbyville,IN
W-2405480,Snow,Light,2017-12-31 08:55:00,2017-12-31 10:35:00,41.3518,-89.1496,Peru,IL
W-2405481,Fog,Moderate,2017-12-31 10:35:00,2017-12-31 11:15:00,41.3518,-89.1496,Peru,IL
W-2412181,Fog,Moderate,2017-12-31 17:48:00,2017-12-31 18:24:00,32.3541,-95.4024,Tyler,TX
W-2415168,Snow,Light,2017-12-31 10:54:00,2017-12-31 15:12:00,39.7252,-86.2816,Indianapolis,IN
W-2419156,Storm,Severe,2017-12-31 03:56:00,2018-01-03 12:53:00,44.2708,-71.3035,Sargents,NH
W-2423354,Rain,Light,2017-12-31 22:30:00,2017-12-31 23:53:00,32.1314,-81.2023,Port Wentworth,GA
W-2429636,Cold,Severe,2017-12-31 22:35:00,2018-01-01 05:35:00,48.7838,-97.6296,Cavalier city,ND
W-2439646,Rain,Light,2017-12-31 11:15:00,2017-12-31 11:55:00,33.1615,-95.6189,Sulphur Springs,TX
W-2439647,Snow,Light,2017-12-31 11:55:00,2017-12-31 13:15:00,33.1615,-95.6189,Sulphur Springs,TX
W-2445875,Snow,Light,2017-12-31 03:35:00,2017-12-31 03:55:00,40.8967,-97.6228,York,NE
W-2445876,Snow,Light,2017-12-31 05:15:00,2017-12-31 05:55:00,40.8967,-97.6228,York,NE
W-2445877,Snow,Light,2017-12-31 15:55:00,2017-12-31 16:15:00,40.8967,-97.6228,York,NE
W-2467596,Snow,Light,2017-12-31 03:55:00,2017-12-31 09:15:00,41.2984,-93.1114,Knoxville,IA
W-2467597,Fog,Moderate,2017-12-31 14:15:00,2017-12-31 14:35:00,41.2984,-93.1114,Knoxville,IA
W-2475026,Rain,Light,2017-12-31 00:18:00,2017-12-31 00:20:00,32.4208,-99.8546,Dyess AFB,TX
W-2475027,Rain,Light,2017-12-31 00:48:00,2017-12-31 00:49:00,32.4208,-99.8546,Dyess AFB,TX
W-2475028,Rain,Light,2017-12-31 00:50:00,2017-12-31 00:51:00,32.4208,-99.8546,Dyess AFB,TX
W-2475029,Rain,Light,2017-12-31 01:57:00,2017-12-31 01:58:00,32.4208,-99.8546,Dyess AFB,TX
W-2475030,Rain,Light,2017-12-31 01:59:00,2017-12-31 02:00:00,32.4208,-99.8546,Dyess AFB,TX
W-2475031,Rain,Light,2017-12-31 02:02:00,2017-12-31 02:10:00,32.4208,-99.8546,Dyess AFB,TX
W-2475032,Rain,Light,2017-12-31 02:12:00,2017-12-31 02:16:00,32.4208,-99.8546,Dyess AFB,TX
W-2475033,Rain,Light,2017-12-31 02:17:00,2017-12-31 02:19:00,32.4208,-99.8546,Dyess AFB,TX
W-2475034,Rain,Light,2017-12-31 02:21:00,2017-12-31 02:23:00,32.4208,-99.8546,Dyess AFB,TX
W-2475035,Rain,Light,2017-12-31 03:35:00,2017-12-31 03:54:00,32.4208,-99.8546,Dyess AFB,TX
W-2475036,Rain,Light,2017-12-31 03:55:00,2017-12-31 04:02:00,32.4208,-99.8546,Dyess AFB,TX
W-2475037,Rain,Light,2017-12-31 04:05:00,2017-12-31 04:06:00,32.4208,-99.8546,Dyess AFB,TX
W-2475038,Rain,Light,2017-12-31 04:07:00,2017-12-31 04:10:00,32.4208,-99.8546,Dyess AFB,TX
W-2475039,Rain,Light,2017-12-31 04:11:00,2017-12-31 04:29:00,32.4208,-99.8546,Dyess AFB,TX
W-2475040,Rain,Light,2017-12-31 04:30:00,2017-12-31 04:36:00,32.4208,-99.8546,Dyess AFB,TX
W-2475041,Rain,Light,2017-12-31 05:47:00,2017-12-31 05:50:00,32.4208,-99.8546,Dyess AFB,TX
W-2475042,Rain,Light,2017-12-31 05:51:00,2017-12-31 06:07:00,32.4208,-99.8546,Dyess AFB,TX
W-2475043,Rain,Light,2017-12-31 06:31:00,2017-12-31 06:35:00,32.4208,-99.8546,Dyess AFB,TX
W-2475044,Rain,Light,2017-12-31 06:36:00,2017-12-31 06:47:00,32.4208,-99.8546,Dyess AFB,TX
W-2475045,Rain,Light,2017-12-31 08:32:00,2017-12-31 10:36:00,32.4208,-99.8546,Dyess AFB,TX
W-2475046,Rain,Light,2017-12-31 10:40:00,2017-12-31 11:00:00,32.4208,-99.8546,Dyess AFB,TX
W-2475047,Rain,Light,2017-12-31 11:01:00,2017-12-31 11:57:00,32.4208,-99.8546,Dyess AFB,TX
W-2475048,Rain,Light,2017-12-31 12:00:00,2017-12-31 13:11:00,32.4208,-99.8546,Dyess AFB,TX
W-2475049,Rain,Light,2017-12-31 13:12:00,2017-12-31 13:49:00,32.4208,-99.8546,Dyess AFB,TX
W-2475050,Rain,Light,2017-12-31 13:53:00,2017-12-31 14:20:00,32.4208,-99.8546,Dyess AFB,TX
W-2475051,Rain,Light,2017-12-31 14:21:00,2017-12-31 14:35:00,32.4208,-99.8546,Dyess AFB,TX
W-2475052,Rain,Light,2017-12-31 14:38:00,2017-12-31 16:45:00,32.4208,-99.8546,Dyess AFB,TX
W-2475053,Rain,Light,2017-12-31 16:48:00,2017-12-31 17:02:00,32.4208,-99.8546,Dyess AFB,TX
W-2475054,Snow,Light,2017-12-31 17:14:00,2017-12-31 17:24:00,32.4208,-99.8546,Dyess AFB,TX
W-2475055,Rain,Light,2017-12-31 17:25:00,2017-12-31 17:38:00,32.4208,-99.8546,Dyess AFB,TX
W-2475056,Snow,Light,2017-12-31 17:38:00,2017-12-31 17:50:00,32.4208,-99.8546,Dyess AFB,TX
W-2475057,Rain,Light,2017-12-31 17:50:00,2017-12-31 17:57:00,32.4208,-99.8546,Dyess AFB,TX
W-2475058,Rain,Light,2017-12-31 18:04:00,2017-12-31 18:44:00,32.4208,-99.8546,Dyess AFB,TX
W-2475059,Rain,Light,2017-12-31 18:57:00,2017-12-31 19:11:00,32.4208,-99.8546,Dyess AFB,TX
W-2475060,Rain,Light,2017-12-31 19:17:00,2017-12-31 19:21:00,32.4208,-99.8546,Dyess AFB,TX
W-2475061,Snow,Light,2017-12-31 19:21:00,2017-12-31 19:30:00,32.4208,-99.8546,Dyess AFB,TX
W-2475062,Rain,Light,2017-12-31 19:31:00,2017-12-31 19:34:00,32.4208,-99.8546,Dyess AFB,TX
W-2475063,Snow,Light,2017-12-31 19:41:00,2017-12-31 19:52:00,32.4208,-99.8546,Dyess AFB,TX
W-2475064,Snow,Light,2017-12-31 19:58:00,2017-12-31 20:22:00,32.4208,-99.8546,Dyess AFB,TX
W-2475065,Snow,Light,2017-12-31 21:42:00,2017-12-31 21:51:00,32.4208,-99.8546,Dyess AFB,TX
W-2475066,Snow,Light,2017-12-31 23:22:00,2017-12-31 23:24:00,32.4208,-99.8546,Dyess AFB,TX
W-2478228,Rain,Light,2017-12-31 08:15:00,2017-12-31 08:55:00,30.46,-87.877,Fairhope,AL
W-2478229,Rain,Light,2017-12-31 12:35:00,2017-12-31 13:15:00,30.46,-87.877,Fairhope,AL
W-2478230,Rain,Light,2017-12-31 13:35:00,2017-12-31 13:55:00,30.46,-87.877,Fairhope,AL
W-2478231,Rain,Light,2017-12-31 14:15:00,2017-12-31 15:15:00,30.46,-87.877,Fairhope,AL
W-2478232,Rain,Moderate,2017-12-31 15:15:00,2017-12-31 16:15:00,30.46,-87.877,Fairhope,AL
W-2478233,Rain,Light,2017-12-31 17:35:00,2017-12-31 19:55:00,30.46,-87.877,Fairhope,AL
W-2478234,Rain,Light,2017-12-31 22:15:00,2017-12-31 22:35:00,30.46,-87.877,Fairhope,AL
W-2485011,Fog,Moderate,2017-12-31 02:53:00,2017-12-31 03:23:00,40.204,-100.5904,Mc Cook,NE
W-2485012,Fog,Moderate,2017-12-31 16:53:00,2017-12-31 18:53:00,40.204,-100.5904,Mc Cook,NE
W-2485013,Snow,Light,2017-12-31 22:53:00,2018-01-01 00:53:00,40.204,-100.5904,Mc Cook,NE
W-2488043,Snow,Light,2017-12-31 16:55:00,2017-12-31 17:35:00,41.5725,-86.7345,La Porte,IN
W-2488044,Fog,Moderate,2017-12-31 17:35:00,2017-12-31 18:15:00,41.5725,-86.7345,La Porte,IN
W-2488045,Snow,Light,2017-12-31 18:15:00,2017-12-31 18:55:00,41.5725,-86.7345,La Porte,IN
W-2488046,Fog,Moderate,2017-12-31 18:55:00,2017-12-31 19:35:00,41.5725,-86.7345,La Porte,IN
W-2488047,Snow,Light,2017-12-31 19:35:00,2017-12-31 19:55:00,41.5725,-86.7345,La Porte,IN
W-2488048,Fog,Moderate,2017-12-31 19:55:00,2017-12-31 20:15:00,41.5725,-86.7345,La Porte,IN
W-2488049,Snow,Light,2017-12-31 20:15:00,2018-01-01 01:15:00,41.5725,-86.7345,La Porte,IN
W-2494988,Snow,Light,2017-12-31 11:55:00,2017-12-31 12:15:00,33.7141,-96.6737,Denison,TX
W-2494989,Snow,Light,2017-12-31 14:55:00,2017-12-31 15:35:00,33.7141,-96.6737,Denison,TX
W-2497740,Snow,Light,2017-12-31 01:55:00,2017-12-31 02:15:00,39.001,-80.2712,Buckhannon,WV
W-2497741,Snow,Light,2017-12-31 02:35:00,2017-12-31 02:55:00,39.001,-80.2712,Buckhannon,WV
W-2497742,Snow,Light,2017-12-31 03:15:00,2017-12-31 06:10:00,39.001,-80.2712,Buckhannon,WV
W-2497743,Snow,Light,2017-12-31 10:55:00,2017-12-31 11:15:00,39.001,-80.2712,Buckhannon,WV
W-2497744,Snow,Light,2017-12-31 17:35:00,2017-12-31 19:55:00,39.001,-80.2712,Buckhannon,WV
W-2497745,Cold,Severe,2017-12-31 23:35:00,2017-12-31 23:55:00,39.001,-80.2712,Buckhannon,WV
W-2502331,Cold,Severe,2017-12-31 03:15:00,2017-12-31 03:47:00,44.5926,-92.4844,Bay City,WI
